protocol,scheduler,delta,users_per_macro,trials,Pt_electrical_macro_W,mean_sinr_db,median_sinr_db,avg_se_user_bpshz,avg_se_per_data_subcarrier_bpshz,jain_fairness,conflicts,cov_p10db,cov_p20db,time_s
ADT+OFDMA+strictFFR,full-load,0.6666666666666666,14,10000,3.0,28.18639233375292,27.18484614586196,820.2120293003707,3.216517761962238,0.9043350449916004,0,1.0,1.0,207.23108625411987
ADT+OFDMA+strictFFR,rr1,0.6666666666666666,14,10000,3.0,28.07269315597709,27.16600055362621,1026.7276898394025,4.026383097409422,0.991756023517228,0,1.0,1.0,138.14996218681335
ADT+OFDMA+strictFFR,full-load,0.6666666666666666,28,10000,3.0,28.08527049814149,27.09053508614932,520.2860373548316,2.040337401391497,0.8107700109462488,0,1.0,1.0,292.45858573913574
ADT+OFDMA+strictFFR,rr1,0.6666666666666666,28,10000,3.0,28.18559428952228,27.153903404658028,1027.9141455887575,4.031035865053951,0.9908357437259424,0,1.0,1.0,145.93124055862427
ADT+OFDMA+strictFFR,full-load,0.6666666666666666,42,10000,3.0,28.261262097302957,27.25666681791602,377.27650074131947,1.479515689181645,0.7887409585648372,0,1.0,1.0,353.37057852745056
ADT+OFDMA+strictFFR,rr1,0.6666666666666666,42,10000,3.0,28.26355433660818,26.931887820899647,1028.880785016505,4.034826607907863,0.990378263975474,0,1.0,1.0,151.68403124809265
ADT+OFDMA+strictFFR,full-load,0.6666666666666666,56,10000,3.0,28.1692186497791,27.110121203812398,287.1903409967725,1.1262366313598922,0.8038636100790664,0,1.0,1.0,404.1873068809509
ADT+OFDMA+strictFFR,rr1,0.6666666666666666,56,10000,3.0,28.09084771376388,27.097617576939516,1025.6728605928488,4.0222465121288185,0.9910781350647808,0,1.0,1.0,175.9893741607666
